Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,scholar_eval_list,,text,Record ID,,,,,,,,,,,,,
academic_year,scholar_eval_list,Demographics,text,Academic Year,,"e.g., AY2025-2026",,,,,,,,,,,
first_name,scholar_eval_list,,text,First Name,,,,,,,,,,,,,
last_name,scholar_eval_list,,text,Last Name,,,,,,,,,,,,,
scholar_image,scholar_eval_list,,file,Scholar image,,,,,,,,,,,,, @INLINE
goes_by,scholar_eval_list,,text,Goes by,,,,,,,,,,,,,
email,scholar_eval_list,,text,Email,,,email,,,,,,,,,,
year,scholar_eval_list,,text,Year,,,integer,,,,,,,,,,
campus,scholar_eval_list,,dropdown,Campus,"ow, Old Westbury|ar, Arkansas",,,,,,,,,,,,
s_focus,scholar_eval_list,,dropdown,Focus,"T, Teaching|R, Research",,,,,,,,,,,,
summary,scholar_eval_list,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 87%;"" border=""0""><tbody><tr><td style=""text-align: center; width: 44%;"" rowspan=""7"">{scholar_image}</td><td style=""width: 14%;"">First name</td><td style=""width: 42%;"">{first_name}</td></tr><tr><td>Last name</td><td>{last_name}</td></tr><tr><td>Goes by</td><td>{goes_by}</td></tr><tr><td>Email</td><td>{email}</td></tr><tr><td>Year</td><td>{year}</td></tr><tr><td>Track</td><td>{s_focus}</td></tr><tr><td>Campus</td><td>{campus}</td></tr><tr><td>Academic Year</td><td>{academic_year}</td></tr></tbody></table></div>",,,,,,,,,,,,,
spring_nu_teaching,scholar_eval_list,Spring Semester,text,[Spring] Teaching - Number of evaluations,,,integer,,,,,,,,,,
spring_avg_teaching,scholar_eval_list,,text,[Spring] Teaching - Average score (0-100%),,,number,,,,,,,,,,
spring_nu_clinic,scholar_eval_list,,text,[Spring] Clinic - Number of evaluations,,,integer,,,,,,,,,,
spring_avg_clinic,scholar_eval_list,,text,[Spring] Clinic - Average score (0-100%),,,number,,,,,,,,,,
spring_nu_research,scholar_eval_list,,text,[Spring] Research - Number of evaluations,,,integer,,,,,,,,,,
spring_avg_research,scholar_eval_list,,text,[Spring] Research - Average score (0-100%),,,number,,,,,,,,,,
spring_nu_didactics,scholar_eval_list,,text,[Spring] Didactics - Number of evaluations,,,integer,,,,,,,,,,
spring_avg_didactics,scholar_eval_list,,text,[Spring] Didactics - Average score (0-100%),,,number,,,,,,,,,,
spring_nu_comments,scholar_eval_list,,text,[Spring] Number of comments received,,,integer,,,,,,,,,,
spring_comments,scholar_eval_list,,notes,[Spring] Aggregated faculty comments,,,,,,,,,LV,,,,
spring_leadership,scholar_eval_list,,radio,[Spring] Leadership Quality demonstrated,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,,,LH,,,,
spring_final_score,scholar_eval_list,,calc,[Spring] Final Score,"if([spring_avg_teaching] != '',round((25 * [spring_avg_teaching])/100 , 2),0) + if([spring_avg_clinic] != '',round((25 * [spring_avg_clinic])/100 , 2),0) + if([spring_avg_research] != '',round((25 * [spring_avg_research])/100 , 2),0) + if([spring_avg_didactics] != '',round((25 * [spring_avg_didactics])/100 , 2),0) + [spring_leadership]",,,,,,,,,,,,
fall_nu_teaching,scholar_eval_list,Fall Semester,text,[Fall] Teaching - Number of evaluations,,,integer,,,,,,,,,,
fall_avg_teaching,scholar_eval_list,,text,[Fall] Teaching - Average score (0-100%),,,number,,,,,,,,,,
fall_nu_clinic,scholar_eval_list,,text,[Fall] Clinic - Number of evaluations,,,integer,,,,,,,,,,
fall_avg_clinic,scholar_eval_list,,text,[Fall] Clinic - Average score (0-100%),,,number,,,,,,,,,,
fall_nu_research,scholar_eval_list,,text,[Fall] Research - Number of evaluations,,,integer,,,,,,,,,,
fall_avg_research,scholar_eval_list,,text,[Fall] Research - Average score (0-100%),,,number,,,,,,,,,,
fall_nu_didactics,scholar_eval_list,,text,[Fall] Didactics - Number of evaluations,,,integer,,,,,,,,,,
fall_avg_didactics,scholar_eval_list,,text,[Fall] Didactics - Average score (0-100%),,,number,,,,,,,,,,
fall_nu_comments,scholar_eval_list,,text,[Fall] Number of comments received,,,integer,,,,,,,,,,
fall_comments,scholar_eval_list,,notes,[Fall] Aggregated faculty comments,,,,,,,,,LV,,,,
fall_leadership,scholar_eval_list,,radio,[Fall] Leadership Quality demonstrated,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,,,LH,,,,
fall_final_score,scholar_eval_list,,calc,[Fall] Final Score,"if([fall_avg_teaching] != '',round((25 * [fall_avg_teaching])/100 , 2),0) + if([fall_avg_clinic] != '',round((25 * [fall_avg_clinic])/100 , 2),0) + if([fall_avg_research] != '',round((25 * [fall_avg_research])/100 , 2),0) + if([fall_avg_didactics] != '',round((25 * [fall_avg_didactics])/100 , 2),0) + [fall_leadership]",,,,,,,,,,,,
annual_final_score,scholar_eval_list,Annual Summary,calc,Annual Final Score (Spring + Fall average),"round((if([spring_final_score] = '', 0, [spring_final_score]) + if([fall_final_score] = '', 0, [fall_final_score])) / (if([spring_final_score] = '', 0, 1) + if([fall_final_score] = '', 0, 1)), 2)",,,,,,,,,,,,
